Loaded 250 EVs from /Users/ankitkumarsingh/Desktop/MMTP/Optimal_cost_reduction_in_electric_vehicle_Using_Priority_scheduling_and_Optimisation/evs_250.csv
=== SJF Admission ===

Total EVs: 250, Available chargers: 30
Admission criteria: Shortest-Job-First (smallest required charging time)

Sorted by job length (hours), arrival, id:
  EV87: job_len=0.702 h, T_arr_idx=78
  EV109: job_len=0.722 h, T_arr_idx=33
  EV139: job_len=0.795 h, T_arr_idx=37
  EV48: job_len=0.896 h, T_arr_idx=79
  EV29: job_len=0.923 h, T_arr_idx=46
  EV249: job_len=0.963 h, T_arr_idx=78
  EV16: job_len=0.967 h, T_arr_idx=87
  EV30: job_len=0.996 h, T_arr_idx=63
  EV205: job_len=1.006 h, T_arr_idx=31
  EV178: job_len=1.026 h, T_arr_idx=76
  EV248: job_len=1.109 h, T_arr_idx=69
  EV102: job_len=1.129 h, T_arr_idx=39
  EV21: job_len=1.138 h, T_arr_idx=81
  EV15: job_len=1.146 h, T_arr_idx=67
  EV120: job_len=1.151 h, T_arr_idx=35
  EV243: job_len=1.174 h, T_arr_idx=44
  EV238: job_len=1.195 h, T_arr_idx=30
  EV179: job_len=1.221 h, T_arr_idx=76
  EV115: job_len=1.242 h, T_arr_idx=27
  EV17: job_len=1.279 h, T_arr_idx=21
  EV154: job_len=1.285 h, T_arr_idx=31
  EV184: job_len=1.303 h, T_arr_idx=83
  EV111: job_len=1.307 h, T_arr_idx=70
  EV79: job_len=1.311 h, T_arr_idx=62
  EV217: job_len=1.323 h, T_arr_idx=31
  EV131: job_len=1.341 h, T_arr_idx=69
  EV108: job_len=1.351 h, T_arr_idx=82
  EV245: job_len=1.382 h, T_arr_idx=43
  EV50: job_len=1.388 h, T_arr_idx=80
  EV116: job_len=1.395 h, T_arr_idx=52
  EV84: job_len=1.417 h, T_arr_idx=82
  EV166: job_len=1.430 h, T_arr_idx=14
  EV81: job_len=1.433 h, T_arr_idx=36
  EV118: job_len=1.440 h, T_arr_idx=28
  EV239: job_len=1.444 h, T_arr_idx=78
  EV250: job_len=1.450 h, T_arr_idx=77
  EV54: job_len=1.454 h, T_arr_idx=72
  EV49: job_len=1.459 h, T_arr_idx=73
  EV162: job_len=1.460 h, T_arr_idx=26
  EV129: job_len=1.473 h, T_arr_idx=94
  EV60: job_len=1.555 h, T_arr_idx=35
  EV71: job_len=1.563 h, T_arr_idx=61
  EV183: job_len=1.565 h, T_arr_idx=23
  EV133: job_len=1.581 h, T_arr_idx=71
  EV172: job_len=1.599 h, T_arr_idx=59
