Loaded 300 EVs from evs_300.csv
=== SJF Admission ===

Total EVs: 300, Available chargers: 30
Admission criteria: Shortest-Job-First (smallest required charging time)

Sorted by job length (hours), arrival, id:
  EV298: job_len=0.719 h, T_arr_idx=19
  EV9: job_len=0.798 h, T_arr_idx=27
  EV126: job_len=0.800 h, T_arr_idx=82
  EV205: job_len=0.800 h, T_arr_idx=20
  EV104: job_len=0.844 h, T_arr_idx=61
  EV192: job_len=0.848 h, T_arr_idx=32
  EV190: job_len=0.874 h, T_arr_idx=29
  EV240: job_len=0.896 h, T_arr_idx=80
  EV110: job_len=0.898 h, T_arr_idx=25
  EV248: job_len=0.904 h, T_arr_idx=34
  EV201: job_len=0.921 h, T_arr_idx=76
  EV276: job_len=0.978 h, T_arr_idx=45
  EV142: job_len=0.991 h, T_arr_idx=86
  EV69: job_len=0.999 h, T_arr_idx=38
  EV207: job_len=1.001 h, T_arr_idx=79
  EV96: job_len=1.011 h, T_arr_idx=52
  EV118: job_len=1.027 h, T_arr_idx=35
  EV8: job_len=1.064 h, T_arr_idx=25
  EV221: job_len=1.066 h, T_arr_idx=79
  EV267: job_len=1.078 h, T_arr_idx=27
  EV50: job_len=1.079 h, T_arr_idx=18
  EV119: job_len=1.082 h, T_arr_idx=16
  EV162: job_len=1.082 h, T_arr_idx=72
  EV29: job_len=1.086 h, T_arr_idx=20
  EV5: job_len=1.109 h, T_arr_idx=77
  EV237: job_len=1.189 h, T_arr_idx=76
  EV88: job_len=1.201 h, T_arr_idx=76
  EV112: job_len=1.212 h, T_arr_idx=73
  EV35: job_len=1.245 h, T_arr_idx=88
  EV256: job_len=1.249 h, T_arr_idx=26
  EV224: job_len=1.261 h, T_arr_idx=29
  EV27: job_len=1.296 h, T_arr_idx=80
  EV263: job_len=1.302 h, T_arr_idx=70
  EV128: job_len=1.357 h, T_arr_idx=67
  EV72: job_len=1.363 h, T_arr_idx=42
  EV81: job_len=1.376 h, T_arr_idx=62
  EV175: job_len=1.377 h, T_arr_idx=77
  EV4: job_len=1.388 h, T_arr_idx=78
  EV286: job_len=1.395 h, T_arr_idx=66
  EV13: job_len=1.408 h, T_arr_idx=27
  EV10: job_len=1.416 h, T_arr_idx=68
  EV85: job_len=1.428 h, T_arr_idx=37
  EV264: job_len=1.428 h, T_arr_idx=68
  EV262: job_len=1.429 h, T_arr_idx=38
  EV146: job_len=1.435 h, T_arr_idx=35
  EV275: job_len=1.447 h, T_arr_idx=34
  EV133: job_len=1.451 h, T_arr_idx=79
  EV145: job_len=1.493 h, T_arr_idx=69
