id,Ecap,SoC_init,SoC_max,SoC_min,R_i,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
1,48.6,0.187,0.428,0.05,7.0,7.0,-7.0,4.07,29,46,0.0175
2,71.16,0.131,0.374,0.05,22.0,22.0,-22.0,5.76,67,91,0.0251
3,35.78,0.235,0.669,0.05,3.6,3.6,-3.6,6.76,61,89,0.0516
4,36.32,0.244,0.511,0.05,3.6,3.6,-3.6,6.96,75,103,0.0489
5,81.35,0.555,0.934,0.05,11.0,11.0,-11.0,4.29,35,53,0.0435
6,48.26,0.326,0.762,0.05,7.0,7.0,-7.0,11.28,68,114,0.0297
7,41.42,0.17,0.364,0.05,3.6,3.6,-3.6,2.35,29,39,0.0338
8,35.45,0.352,0.612,0.05,3.6,3.6,-3.6,3.97,27,43,0.0219
9,50.84,0.233,0.49,0.05,3.6,3.6,-3.6,10.43,27,69,0.007
10,41.56,0.112,0.398,0.05,3.6,3.6,-3.6,5.44,74,96,0.0098
11,35.11,0.361,0.718,0.05,7.0,7.0,-7.0,7.82,57,89,0.0385
12,98.9,0.226,0.672,0.05,22.0,22.0,-22.0,8.12,33,66,0.0138
13,36.49,0.412,0.644,0.05,3.6,3.6,-3.6,6.14,43,68,0.0279
14,44.34,0.19,0.52,0.05,3.6,3.6,-3.6,4.28,61,79,0.0201
15,44.05,0.117,0.323,0.05,7.0,7.0,-7.0,4.3,38,56,0.0283
16,49.2,0.093,0.443,0.05,7.0,7.0,-7.0,3.7,35,50,0.0812
17,39.85,0.45,0.775,0.05,7.0,7.0,-7.0,6.95,30,58,0.0283
18,91.17,0.139,0.545,0.05,22.0,22.0,-22.0,2.58,21,32,0.0317
19,40.03,0.139,0.585,0.05,7.0,7.0,-7.0,4.01,37,54,0.03
20,41.02,0.194,0.629,0.05,3.6,3.6,-3.6,6.41,88,114,0.0275
21,37.24,0.227,0.667,0.05,7.0,7.0,-7.0,3.33,34,48,0.0158
22,81.24,0.188,0.509,0.05,22.0,22.0,-22.0,3.1,71,84,0.0155
23,35.31,0.284,0.714,0.05,7.0,7.0,-7.0,6.77,34,62,0.0154
24,46.7,0.221,0.487,0.05,7.0,7.0,-7.0,6.0,64,89,0.0155
25,45.41,0.275,0.576,0.05,3.6,3.6,-3.6,4.0,32,48,0.022
26,75.42,0.103,0.421,0.05,11.0,11.0,-11.0,4.64,68,87,0.0343
27,40.22,0.344,0.612,0.05,7.0,7.0,-7.0,7.93,37,69,0.0092
28,47.09,0.094,0.509,0.05,7.0,7.0,-7.0,7.54,70,101,0.0143
29,46.71,0.095,0.397,0.05,7.0,7.0,-7.0,2.71,77,88,0.021
30,50.11,0.375,0.72,0.05,3.6,3.6,-3.6,5.06,42,63,0.0068
31,46.71,0.407,0.699,0.05,7.0,7.0,-7.0,8.2,36,69,0.0347
32,36.01,0.207,0.654,0.05,3.6,3.6,-3.6,6.91,38,66,0.0052
33,51.05,0.125,0.386,0.05,3.6,3.6,-3.6,3.9,24,40,0.0128
34,42.34,0.157,0.516,0.05,7.0,7.0,-7.0,3.63,80,95,0.0157
35,41.08,0.206,0.421,0.05,7.0,7.0,-7.0,5.51,63,86,0.0429
36,36.89,0.116,0.428,0.05,3.6,3.6,-3.6,5.08,17,38,0.0327
37,40.08,0.4,0.744,0.05,7.0,7.0,-7.0,7.71,60,91,0.0182
38,96.62,0.18,0.599,0.05,11.0,11.0,-11.0,8.2,29,62,0.0076
39,74.14,0.073,0.343,0.05,22.0,22.0,-22.0,3.37,75,89,0.0211
40,41.8,0.217,0.544,0.05,3.6,3.6,-3.6,6.0,61,86,0.0324
41,45.65,0.295,0.581,0.05,7.0,7.0,-7.0,3.42,73,87,0.0665
42,54.81,0.111,0.316,0.05,7.0,7.0,-7.0,5.54,71,94,0.0067
43,36.6,0.144,0.346,0.05,7.0,7.0,-7.0,5.51,51,74,0.0256
44,36.21,0.075,0.463,0.05,7.0,7.0,-7.0,4.94,75,95,0.0173
45,38.03,0.123,0.355,0.05,3.6,3.6,-3.6,5.36,74,96,0.0107
46,51.99,0.195,0.458,0.05,3.6,3.6,-3.6,4.0,44,60,0.0113
47,86.11,0.179,0.57,0.05,22.0,22.0,-22.0,4.2,37,54,0.0224
48,49.27,0.147,0.345,0.05,3.6,3.6,-3.6,2.86,30,42,0.022
49,49.88,0.067,0.296,0.05,7.0,7.0,-7.0,1.71,30,37,0.0229
50,43.44,0.237,0.595,0.05,7.0,7.0,-7.0,6.75,43,71,0.0131
51,43.53,0.152,0.383,0.05,3.6,3.6,-3.6,9.98,47,87,0.036
52,76.5,0.158,0.5,0.05,11.0,11.0,-11.0,7.12,81,110,0.0156
53,54.6,0.293,0.497,0.05,7.0,7.0,-7.0,8.5,41,76,0.0132
54,85.48,0.334,0.78,0.05,11.0,11.0,-11.0,4.23,23,40,0.0652
55,39.45,0.36,0.692,0.05,3.6,3.6,-3.6,3.84,27,43,0.0372
56,85.61,0.371,0.63,0.05,11.0,11.0,-11.0,2.12,37,46,0.0157
57,36.69,0.211,0.435,0.05,7.0,7.0,-7.0,9.62,29,68,0.0405
58,45.75,0.251,0.465,0.05,7.0,7.0,-7.0,3.25,28,42,0.0413
59,39.5,0.196,0.525,0.05,7.0,7.0,-7.0,5.33,36,58,0.0284
60,54.33,0.294,0.568,0.05,7.0,7.0,-7.0,3.84,70,86,0.0088
61,79.14,0.456,0.683,0.05,22.0,22.0,-22.0,8.27,51,85,0.0339
62,51.28,0.108,0.41,0.05,7.0,7.0,-7.0,9.49,34,72,0.0446
63,35.64,0.189,0.394,0.05,7.0,7.0,-7.0,3.34,44,58,0.0209
64,76.8,0.309,0.525,0.05,11.0,11.0,-11.0,4.82,79,99,0.0171
65,42.85,0.33,0.567,0.05,7.0,7.0,-7.0,3.77,80,96,0.0094
66,42.47,0.274,0.568,0.05,7.0,7.0,-7.0,4.57,36,55,0.0144
67,78.11,0.214,0.641,0.05,22.0,22.0,-22.0,7.76,74,106,0.0077
68,37.09,0.212,0.443,0.05,7.0,7.0,-7.0,3.39,54,68,0.0379
69,75.53,0.242,0.501,0.05,11.0,11.0,-11.0,3.13,38,51,0.0338
70,86.36,0.117,0.536,0.05,22.0,22.0,-22.0,6.28,62,88,0.0171
71,40.5,0.215,0.44,0.05,7.0,7.0,-7.0,7.77,76,108,0.0325
72,50.41,0.406,0.641,0.05,3.6,3.6,-3.6,3.47,18,32,0.0305
73,97.12,0.147,0.432,0.05,11.0,11.0,-11.0,7.8,78,110,0.0496
74,40.96,0.159,0.438,0.05,3.6,3.6,-3.6,8.51,36,71,0.0273
75,45.45,0.238,0.459,0.05,3.6,3.6,-3.6,7.61,21,52,0.0245
76,42.86,0.216,0.514,0.05,7.0,7.0,-7.0,9.35,71,109,0.0184
77,49.31,0.155,0.395,0.05,7.0,7.0,-7.0,4.34,39,57,0.0283
78,50.68,0.427,0.853,0.05,7.0,7.0,-7.0,9.47,72,110,0.0253
79,97.11,0.217,0.536,0.05,11.0,11.0,-11.0,6.52,28,55,0.0225
80,70.07,0.3,0.692,0.05,22.0,22.0,-22.0,5.06,37,58,0.0157
81,54.9,0.214,0.49,0.05,7.0,7.0,-7.0,2.28,78,88,0.0139
82,82.05,0.42,0.741,0.05,22.0,22.0,-22.0,2.91,85,97,0.0357
83,52.48,0.461,0.783,0.05,7.0,7.0,-7.0,6.42,81,107,0.0082
84,53.06,0.234,0.454,0.05,7.0,7.0,-7.0,2.65,23,34,0.0354
85,54.38,0.42,0.719,0.05,7.0,7.0,-7.0,3.7,35,50,0.0279
86,47.53,0.294,0.535,0.05,7.0,7.0,-7.0,6.55,58,85,0.0263
87,36.16,0.198,0.643,0.05,3.6,3.6,-3.6,6.93,67,95,0.0122
88,46.7,0.327,0.693,0.05,7.0,7.0,-7.0,3.99,14,30,0.03
89,52.41,0.497,0.645,0.05,3.6,3.6,-3.6,2.27,40,50,0.0195
90,72.13,0.353,0.791,0.05,22.0,22.0,-22.0,6.36,61,87,0.0122
91,38.32,0.318,0.699,0.05,7.0,7.0,-7.0,3.76,67,83,0.0152
92,45.29,0.216,0.444,0.05,3.6,3.6,-3.6,3.02,30,43,0.0236
93,96.3,0.394,0.794,0.05,22.0,22.0,-22.0,4.5,69,88,0.0236
94,95.58,0.292,0.497,0.05,11.0,11.0,-11.0,10.11,67,108,0.0284
95,44.04,0.165,0.43,0.05,3.6,3.6,-3.6,3.41,19,33,0.0323
96,47.19,0.123,0.394,0.05,3.6,3.6,-3.6,3.75,14,29,0.0394
97,37.5,0.604,0.927,0.05,7.0,7.0,-7.0,3.61,26,41,0.0136
98,53.93,0.267,0.531,0.05,7.0,7.0,-7.0,7.7,62,93,0.0106
99,46.92,0.186,0.548,0.05,7.0,7.0,-7.0,8.97,83,119,0.0418
100,86.44,0.066,0.488,0.05,11.0,11.0,-11.0,6.11,29,54,0.0167
