id,Ecap,SoC_init,SoC_max,SoC_min,R_i,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
1,46.3,0.225,0.626,0.05,7.0,7.0,-7.0,10.29,70,112,0.0067
2,87.11,0.297,0.536,0.05,22.0,22.0,-22.0,8.13,38,71,0.0155
3,41.77,0.093,0.508,0.05,3.6,3.6,-3.6,6.39,75,101,0.0288
4,46.63,0.242,0.624,0.05,3.6,3.6,-3.6,5.25,65,87,0.017
5,37.37,0.137,0.366,0.05,3.6,3.6,-3.6,2.5,28,39,0.0231
6,53.16,0.168,0.389,0.05,3.6,3.6,-3.6,3.43,29,43,0.0216
7,44.62,0.086,0.381,0.05,3.6,3.6,-3.6,8.59,30,65,0.0196
8,50.49,0.283,0.702,0.05,3.6,3.6,-3.6,8.87,78,114,0.0276
9,42.54,0.122,0.403,0.05,7.0,7.0,-7.0,2.55,68,79,0.0365
10,95.17,0.117,0.356,0.05,22.0,22.0,-22.0,10.58,75,118,0.0092
11,76.57,0.06,0.467,0.05,22.0,22.0,-22.0,3.47,37,51,0.0265
12,37.78,0.096,0.542,0.05,7.0,7.0,-7.0,6.71,75,102,0.0316
13,98.59,0.227,0.587,0.05,22.0,22.0,-22.0,7.49,33,63,0.0116
14,43.18,0.269,0.635,0.05,3.6,3.6,-3.6,6.31,28,54,0.0155
15,54.31,0.363,0.743,0.05,3.6,3.6,-3.6,7.83,73,105,0.0302
16,53.47,0.259,0.659,0.05,7.0,7.0,-7.0,3.43,27,41,0.0378
17,89.11,0.13,0.412,0.05,11.0,11.0,-11.0,3.5,65,79,0.0095
18,50.75,0.374,0.674,0.05,7.0,7.0,-7.0,3.5,51,65,0.0473
19,48.82,0.321,0.6,0.05,3.6,3.6,-3.6,5.12,22,43,0.0384
20,76.13,0.208,0.581,0.05,22.0,22.0,-22.0,9.94,38,78,0.0197
21,73.5,0.116,0.391,0.05,22.0,22.0,-22.0,6.22,69,94,0.056
22,49.37,0.066,0.344,0.05,3.6,3.6,-3.6,6.81,83,111,0.0125
23,49.15,0.162,0.364,0.05,7.0,7.0,-7.0,10.15,37,78,0.0159
24,90.28,0.142,0.451,0.05,22.0,22.0,-22.0,5.14,79,100,0.0203
25,44.19,0.227,0.433,0.05,3.6,3.6,-3.6,10.51,20,63,0.027
26,52.73,0.166,0.532,0.05,7.0,7.0,-7.0,7.18,56,85,0.0268
27,76.34,0.139,0.433,0.05,22.0,22.0,-22.0,2.42,66,76,0.0363
28,36.6,0.226,0.435,0.05,7.0,7.0,-7.0,9.88,36,76,0.0155
29,39.67,0.059,0.471,0.05,3.6,3.6,-3.6,5.31,31,53,0.0212
30,51.36,0.142,0.526,0.05,3.6,3.6,-3.6,9.19,65,102,0.0232
31,40.54,0.303,0.629,0.05,3.6,3.6,-3.6,3.86,71,87,0.0283
32,40.95,0.087,0.309,0.05,3.6,3.6,-3.6,5.11,41,62,0.0238
33,39.12,0.106,0.47,0.05,7.0,7.0,-7.0,8.71,87,122,0.0252
34,80.13,0.29,0.653,0.05,22.0,22.0,-22.0,7.21,36,65,0.0117
35,48.29,0.225,0.542,0.05,7.0,7.0,-7.0,3.18,63,76,0.0255
36,38.25,0.174,0.579,0.05,7.0,7.0,-7.0,8.14,26,59,0.0173
37,40.14,0.358,0.568,0.05,3.6,3.6,-3.6,4.59,63,82,0.0171
38,54.09,0.417,0.692,0.05,3.6,3.6,-3.6,4.35,24,42,0.0197
39,41.03,0.24,0.486,0.05,7.0,7.0,-7.0,4.75,78,97,0.0151
40,38.54,0.24,0.501,0.05,3.6,3.6,-3.6,8.26,82,116,0.0131
41,45.68,0.078,0.525,0.05,7.0,7.0,-7.0,6.92,78,106,0.0152
42,35.16,0.36,0.638,0.05,3.6,3.6,-3.6,3.2,68,81,0.0172
43,37.49,0.201,0.523,0.05,7.0,7.0,-7.0,7.85,74,106,0.0133
44,42.06,0.25,0.544,0.05,3.6,3.6,-3.6,5.06,73,94,0.0175
45,49.11,0.202,0.524,0.05,3.6,3.6,-3.6,6.7,79,106,0.0137
46,35.22,0.158,0.425,0.05,3.6,3.6,-3.6,2.75,30,42,0.0215
47,48.15,0.383,0.614,0.05,3.6,3.6,-3.6,6.29,41,67,0.0308
48,83.56,0.136,0.397,0.05,22.0,22.0,-22.0,4.79,76,96,0.0125
49,44.25,0.202,0.55,0.05,7.0,7.0,-7.0,5.04,70,91,0.0161
50,72.23,0.403,0.847,0.05,11.0,11.0,-11.0,6.58,84,111,0.0265
