id,Ecap,SoC_init,SoC_max,R_i,T_stay,T_arr_idx,T_dep_idx,SoC_min,cdeg
1,46,0.148,0.468,3.6,4.30,30,48,0.06,0.0128
2,71,0.247,0.459,11.0,6.64,21,48,0.06,0.0283
3,42,0.356,0.614,11.0,5.08,27,48,0.18,0.0272
4,55,0.286,0.666,3.6,6.12,23,48,0.06,0.0212
5,48,0.426,0.531,3.6,1.47,42,48,0.18,0.0244
6,78,0.079,0.416,7.0,5.29,26,48,0.08,0.0285
7,40,0.096,0.317,11.0,9.07,11,48,0.09,0.0243
8,40,0.263,0.595,7.0,4.26,29,47,0.19,0.0247
9,92,0.368,0.470,7.0,1.41,33,39,0.08,0.0182
10,41,0.115,0.487,7.0,4.27,30,48,0.12,0.0231
11,37,0.269,0.691,3.6,8.09,15,48,0.11,0.0291
12,39,0.226,0.598,7.0,8.72,13,48,0.12,0.0239
13,52,0.304,0.560,3.6,4.91,28,48,0.05,0.0241
14,48,0.249,0.534,3.6,5.35,26,48,0.09,0.0262
15,48,0.381,0.646,7.0,8.89,12,48,0.05,0.0259
16,85,0.154,0.357,11.0,1.72,41,48,0.07,0.0353
17,47,0.235,0.583,22.0,6.63,21,48,0.13,0.0251
18,41,0.154,0.482,3.6,6.83,20,48,0.05,0.0230
19,40,0.155,0.437,7.0,2.14,39,48,0.07,0.0261
20,79,0.300,0.614,22.0,6.18,23,48,0.09,0.0180
21,37,0.280,0.709,3.6,5.84,24,48,0.13,0.0183
22,37,0.074,0.502,22.0,4.44,30,48,0.07,0.0198
23,51,0.248,0.609,22.0,5.11,27,48,0.08,0.0190
24,37,0.144,0.502,11.0,4.61,29,48,0.08,0.0230
25,71,0.215,0.559,11.0,3.81,25,41,0.06,0.0243
26,37,0.327,0.533,3.6,2.23,13,22,0.05,0.0186
27,85,0.099,0.308,7.0,3.00,35,48,0.08,0.0138
28,98,0.178,0.549,11.0,5.01,24,45,0.16,0.0139
29,42,0.102,0.410,11.0,5.99,24,48,0.10,0.0313
30,51,0.208,0.426,7.0,7.61,17,48,0.06,0.0182
31,49,0.230,0.467,7.0,6.75,21,48,0.09,0.0233
32,52,0.312,0.574,11.0,2.10,39,48,0.09,0.0281
33,77,0.109,0.494,11.0,4.82,28,48,0.11,0.0174
34,92,0.231,0.585,22.0,4.51,29,48,0.11,0.0268
35,53,0.264,0.643,3.6,6.63,21,48,0.08,0.0166
36,50,0.221,0.549,7.0,8.26,14,48,0.17,0.0285
37,36,0.237,0.557,7.0,2.73,36,47,0.11,0.0264
38,79,0.128,0.354,11.0,5.11,27,48,0.12,0.0144
39,36,0.121,0.507,7.0,7.13,19,48,0.12,0.0128
40,80,0.359,0.600,3.6,5.63,25,48,0.06,0.0202
41,40,0.170,0.508,7.0,8.64,13,48,0.06,0.0198
42,87,0.338,0.545,11.0,4.42,24,42,0.19,0.0147
43,45,0.390,0.785,7.0,6.17,23,48,0.12,0.0219
44,41,0.422,0.629,7.0,5.33,26,48,0.15,0.0212
45,38,0.234,0.555,7.0,2.83,36,48,0.17,0.0166
46,47,0.069,0.409,7.0,8.64,13,48,0.06,0.0162
47,47,0.060,0.509,11.0,6.02,23,48,0.06,0.0229
48,54,0.121,0.389,3.6,7.74,17,48,0.12,0.0294
49,79,0.142,0.247,3.6,2.42,32,42,0.12,0.0323
50,54,0.465,0.733,3.6,5.44,26,48,0.11,0.0153
51,95,0.430,0.709,11.0,7.14,19,48,0.20,0.0178
52,54,0.358,0.616,11.0,6.28,22,48,0.12,0.0199
53,87,0.262,0.618,22.0,7.32,18,48,0.19,0.0237
54,54,0.254,0.514,3.6,4.11,18,35,0.07,0.0274
55,38,0.126,0.356,11.0,4.16,31,48,0.13,0.0207
56,77,0.265,0.516,11.0,2.67,37,48,0.10,0.0205
57,54,0.086,0.302,3.6,3.42,27,41,0.06,0.0169
58,49,0.341,0.669,22.0,8.21,15,48,0.18,0.0253
59,50,0.098,0.443,11.0,4.00,32,48,0.10,0.0217
60,54,0.367,0.607,7.0,6.28,22,48,0.19,0.0251
61,44,0.122,0.465,11.0,11.71,1,48,0.12,0.0221
62,37,0.145,0.438,7.0,4.99,28,48,0.14,0.0165
63,48,0.158,0.367,7.0,3.95,32,48,0.06,0.0150
64,41,0.202,0.469,7.0,5.94,24,48,0.07,0.0189
65,38,0.270,0.707,7.0,6.54,21,48,0.15,0.0176
66,93,0.284,0.589,7.0,4.27,30,48,0.14,0.0202
67,50,0.140,0.499,22.0,3.13,35,48,0.14,0.0181
68,51,0.512,0.713,3.6,4.47,30,48,0.08,0.0203
69,46,0.334,0.561,7.0,6.61,21,48,0.10,0.0196
70,77,0.380,0.643,3.6,5.91,24,48,0.11,0.0115
71,54,0.269,0.525,7.0,3.28,34,48,0.17,0.0276
72,41,0.285,0.515,7.0,3.25,35,48,0.05,0.0198
73,53,0.199,0.420,7.0,5.96,24,48,0.18,0.0130
74,81,0.344,0.605,22.0,6.95,20,48,0.12,0.0187
75,96,0.270,0.687,11.0,4.34,30,48,0.09,0.0146
76,48,0.289,0.658,3.6,10.64,5,48,0.09,0.0284
77,47,0.247,0.477,7.0,5.85,24,48,0.07,0.0164
78,52,0.147,0.399,11.0,3.52,27,42,0.15,0.0156
79,52,0.097,0.510,7.0,8.50,13,48,0.10,0.0154
80,45,0.324,0.542,22.0,3.76,32,48,0.18,0.0355
81,44,0.059,0.418,7.0,4.09,31,48,0.06,0.0188
82,43,0.281,0.582,3.6,7.89,16,48,0.12,0.0174
83,38,0.082,0.476,11.0,2.89,23,35,0.07,0.0229
84,38,0.100,0.501,7.0,2.29,29,39,0.10,0.0124
85,90,0.300,0.670,11.0,5.50,26,48,0.09,0.0108
86,39,0.138,0.527,11.0,3.28,34,48,0.12,0.0158
