id,Ecap,SoC_init,SoC_max,SoC_min,R_i,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
1,46.67,0.265,0.482,0.05,3.6,3.6,-3.6,9.6,16,55,0.0117
2,41.11,0.076,0.464,0.05,3.6,3.6,-3.6,6.44,34,60,0.0276
3,48.88,0.316,0.687,0.05,3.6,3.6,-3.6,7.93,60,92,0.0139
4,35.32,0.139,0.414,0.05,7.0,7.0,-7.0,6.48,78,104,0.0215
5,70.51,0.244,0.59,0.05,22.0,22.0,-22.0,8.43,77,111,0.0173
6,43.38,0.331,0.648,0.05,3.6,3.6,-3.6,5.42,74,96,0.0147
7,53.67,0.191,0.419,0.05,7.0,7.0,-7.0,6.73,26,53,0.0218
8,81.26,0.383,0.671,0.05,22.0,22.0,-22.0,5.68,25,48,0.0083
9,71.63,0.318,0.563,0.05,22.0,22.0,-22.0,5.21,27,48,0.0129
10,37.4,0.238,0.503,0.05,7.0,7.0,-7.0,4.52,68,87,0.0135
11,52.61,0.408,0.731,0.05,3.6,3.6,-3.6,4.98,72,92,0.0308
12,50.51,0.14,0.368,0.05,7.0,7.0,-7.0,3.82,78,94,0.0588
13,39.12,0.182,0.434,0.05,7.0,7.0,-7.0,1.48,27,33,0.0124
14,46.59,0.191,0.618,0.05,7.0,7.0,-7.0,6.5,79,106,0.037
15,43.83,0.26,0.5,0.05,3.6,3.6,-3.6,3.08,39,52,0.0109
16,71.92,0.114,0.389,0.05,11.0,11.0,-11.0,2.76,74,86,0.032
17,40.38,0.136,0.413,0.05,3.6,3.6,-3.6,7.89,18,50,0.0236
18,89.41,0.199,0.526,0.05,11.0,11.0,-11.0,3.64,46,61,0.0304
19,81.54,0.354,0.673,0.05,11.0,11.0,-11.0,2.5,81,91,0.0062
20,49.73,0.308,0.549,0.05,7.0,7.0,-7.0,10.82,74,118,0.0172
21,53.5,0.182,0.579,0.05,3.6,3.6,-3.6,6.84,17,45,0.0323
22,42.81,0.339,0.562,0.05,3.6,3.6,-3.6,4.13,81,98,0.0143
23,53.38,0.245,0.419,0.05,3.6,3.6,-3.6,2.72,59,70,0.0194
24,37.25,0.459,0.746,0.05,3.6,3.6,-3.6,6.25,36,62,0.0324
25,48.64,0.29,0.495,0.05,3.6,3.6,-3.6,4.57,76,95,0.0126
26,45.45,0.281,0.545,0.05,3.6,3.6,-3.6,7.02,25,54,0.0421
27,42.21,0.222,0.437,0.05,7.0,7.0,-7.0,9.24,80,117,0.0388
28,39.09,0.277,0.611,0.05,3.6,3.6,-3.6,4.93,74,94,0.0163
29,97.88,0.288,0.532,0.05,22.0,22.0,-22.0,7.94,20,52,0.0116
30,50.43,0.253,0.483,0.05,3.6,3.6,-3.6,10.96,41,85,0.013
31,44.79,0.231,0.479,0.05,7.0,7.0,-7.0,2.58,58,69,0.0683
32,47.03,0.168,0.428,0.05,3.6,3.6,-3.6,6.31,54,80,0.0298
33,78.43,0.228,0.583,0.05,11.0,11.0,-11.0,5.17,73,94,0.0265
34,41.55,0.512,0.775,0.05,3.6,3.6,-3.6,5.47,31,53,0.0269
35,43.35,0.19,0.391,0.05,7.0,7.0,-7.0,2.92,88,100,0.0183
36,50.91,0.429,0.657,0.05,7.0,7.0,-7.0,3.62,77,92,0.0267
37,50.18,0.242,0.597,0.05,3.6,3.6,-3.6,5.2,36,57,0.0229
38,42.27,0.166,0.602,0.05,7.0,7.0,-7.0,3.8,36,52,0.0174
39,71.06,0.157,0.441,0.05,11.0,11.0,-11.0,9.49,38,76,0.0391
40,98.32,0.213,0.598,0.05,22.0,22.0,-22.0,4.89,66,86,0.0155
41,52.22,0.249,0.511,0.05,3.6,3.6,-3.6,3.99,39,55,0.0105
42,53.77,0.296,0.514,0.05,7.0,7.0,-7.0,4.16,34,51,0.0137
43,47.28,0.102,0.332,0.05,3.6,3.6,-3.6,3.17,75,88,0.0191
44,48.67,0.219,0.48,0.05,3.6,3.6,-3.6,4.49,28,46,0.0383
45,54.03,0.196,0.436,0.05,3.6,3.6,-3.6,3.78,25,41,0.01
46,38.22,0.111,0.53,0.05,7.0,7.0,-7.0,4.63,69,88,0.0119
47,53.56,0.294,0.523,0.05,7.0,7.0,-7.0,1.97,19,27,0.0131
48,48.71,0.187,0.592,0.05,3.6,3.6,-3.6,6.93,32,60,0.0572
49,78.54,0.337,0.568,0.05,11.0,11.0,-11.0,4.57,78,97,0.0115
50,71.69,0.254,0.585,0.05,22.0,22.0,-22.0,5.04,18,39,0.0111
51,86.19,0.226,0.531,0.05,11.0,11.0,-11.0,6.24,25,50,0.0215
52,48.69,0.272,0.691,0.05,7.0,7.0,-7.0,4.81,40,60,0.0251
53,50.49,0.152,0.411,0.05,7.0,7.0,-7.0,3.09,34,47,0.0136
54,88.37,0.288,0.506,0.05,11.0,11.0,-11.0,1.84,45,53,0.009
55,37.36,0.244,0.557,0.05,3.6,3.6,-3.6,4.15,72,89,0.0167
56,51.29,0.284,0.491,0.05,3.6,3.6,-3.6,3.11,32,45,0.0283
57,35.33,0.334,0.673,0.05,3.6,3.6,-3.6,9.02,72,109,0.0287
58,35.93,0.202,0.523,0.05,7.0,7.0,-7.0,10.4,68,110,0.0181
59,47.09,0.102,0.376,0.05,3.6,3.6,-3.6,3.78,20,36,0.0125
60,42.78,0.16,0.465,0.05,7.0,7.0,-7.0,7.79,59,91,0.0105
61,36.16,0.103,0.415,0.05,7.0,7.0,-7.0,7.16,71,100,0.0106
