id,Ecap,SoC_init,SoC_max,R_i,T_stay,T_arr_idx,T_dep_idx,SoC_min,cdeg
1,36,0.141,0.564,7.0,2.69,34,45,0.05,0.0138
2,39,0.521,0.896,3.6,4.38,30,48,0.10,0.0291
3,92,0.270,0.677,11.0,6.21,23,48,0.08,0.0181
4,37,0.191,0.443,22.0,3.97,32,48,0.14,0.0119
5,43,0.184,0.441,7.0,2.03,37,46,0.18,0.0159
6,53,0.275,0.541,11.0,5.95,24,48,0.08,0.0128
7,83,0.227,0.597,7.0,5.62,25,48,0.12,0.0163
8,53,0.372,0.707,7.0,7.59,17,48,0.10,0.0183
9,98,0.177,0.385,7.0,3.06,30,43,0.11,0.0153
10,76,0.161,0.296,3.6,3.00,36,48,0.14,0.0172
11,48,0.197,0.451,22.0,3.09,35,48,0.17,0.0173
12,43,0.197,0.422,7.0,4.75,29,48,0.09,0.0157
13,41,0.171,0.509,22.0,2.29,38,48,0.17,0.0151
14,43,0.082,0.388,22.0,10.06,7,48,0.08,0.0162
15,87,0.394,0.720,3.6,8.40,14,48,0.14,0.0221
16,53,0.148,0.494,22.0,5.52,25,48,0.15,0.0166
17,41,0.294,0.744,3.6,11.41,2,48,0.18,0.0259
18,52,0.549,0.824,22.0,6.56,21,48,0.07,0.0137
19,47,0.286,0.608,11.0,9.11,11,48,0.05,0.0276
20,50,0.171,0.507,7.0,8.18,15,48,0.07,0.0248
21,37,0.365,0.604,11.0,9.52,9,48,0.05,0.0233
22,94,0.453,0.680,11.0,8.65,13,48,0.17,0.0195
23,77,0.086,0.528,11.0,4.04,31,48,0.09,0.0179
24,50,0.180,0.524,11.0,3.90,31,47,0.18,0.0212
25,90,0.172,0.450,11.0,8.34,14,48,0.11,0.0181
26,54,0.274,0.345,3.6,1.12,40,45,0.14,0.0226
27,39,0.175,0.396,7.0,5.47,26,48,0.15,0.0173
28,40,0.355,0.712,7.0,3.53,20,35,0.09,0.0319
29,44,0.140,0.402,7.0,8.35,14,48,0.14,0.0238
30,52,0.205,0.470,7.0,3.86,32,48,0.13,0.0216
31,41,0.165,0.423,11.0,6.81,20,48,0.11,0.0161
32,88,0.247,0.448,11.0,4.45,30,48,0.19,0.0174
33,47,0.163,0.447,7.0,6.69,21,48,0.14,0.0143
34,36,0.291,0.586,7.0,3.64,33,48,0.11,0.0380
35,37,0.071,0.434,22.0,7.35,18,48,0.07,0.0236
36,49,0.378,0.580,3.6,2.89,33,45,0.15,0.0277
37,72,0.419,0.707,3.6,6.07,23,48,0.11,0.0179
38,52,0.388,0.829,11.0,3.99,25,41,0.12,0.0180
39,52,0.247,0.474,3.6,3.45,34,48,0.16,0.0241
40,91,0.351,0.628,7.0,5.93,24,48,0.11,0.0234
41,78,0.216,0.542,3.6,7.43,18,48,0.20,0.0203
42,39,0.341,0.610,7.0,10.50,6,48,0.07,0.0273
43,87,0.297,0.732,11.0,5.22,27,48,0.06,0.0142
44,55,0.114,0.370,7.0,5.52,25,48,0.11,0.0228
45,98,0.134,0.224,3.6,2.57,26,37,0.08,0.0270
46,49,0.268,0.695,3.6,8.09,15,48,0.10,0.0256
47,37,0.303,0.513,7.0,4.93,28,48,0.18,0.0385
48,90,0.137,0.490,3.6,9.28,10,48,0.14,0.0199
49,42,0.331,0.603,11.0,9.80,8,48,0.10,0.0281
50,55,0.307,0.597,7.0,7.37,18,48,0.08,0.0268
