id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
62,80.97,0.206,0.613,0.0,10.16,-10.16,4.21,14,,0.02
4,40.92,0.321,0.763,0.0,4.83,-4.83,3.65,4,,0.02
37,43.22,0.389,0.872,0.0,4.68,-4.68,4.32,12,,0.02
29,41.22,0.363,0.708,0.0,3.65,-3.65,7.48,26,,0.02
100,84.6,0.218,0.597,0.0,9.67,-9.67,2.33,19,,0.02
85,96.64,0.531,0.911,0.0,8.66,-8.66,2.57,23,,0.02
97,98.24,0.553,0.884,0.0,9.38,-9.38,5.71,24,,0.02
92,94.22,0.59,1.0,0.0,10.38,-10.38,6.05,19,,0.02
99,76.47,0.338,0.66,0.0,9.05,-9.05,6.07,21,,0.02
87,72.74,0.373,0.822,0.0,7.34,-7.34,6.87,11,,0.02
12,47.51,0.232,0.58,0.0,4.5,-4.5,2.45,17,,0.02
14,40.65,0.228,0.575,0.0,6.52,-6.52,6.73,8,,0.02
2,37.39,0.505,0.842,0.0,5.42,-5.42,6.43,6,,0.02
40,44.14,0.364,0.795,0.0,6.06,-6.06,2.45,4,,0.02
35,43.93,0.333,0.786,0.0,5.25,-5.25,4.73,12,,0.02
88,86.69,0.425,0.791,0.0,9.35,-9.35,4.46,3,,0.02
44,54.95,0.374,0.693,0.0,6.14,-6.14,6.22,20,,0.02
19,43.64,0.3,0.618,0.0,4.7,-4.7,6.05,30,,0.02
82,71.97,0.453,0.863,0.0,8.1,-8.1,4.29,10,,0.02
53,70.24,0.511,1.0,0.0,10.46,-10.46,5.64,29,,0.02
60,92.4,0.246,0.739,0.0,8.35,-8.35,6.52,4,,0.02
63,92.47,0.352,0.78,0.0,8.05,-8.05,2.65,11,,0.02
67,86.13,0.348,0.838,0.0,8.55,-8.55,7.68,22,,0.02
21,35.8,0.388,0.819,0.0,6.17,-6.17,3.67,29,,0.02
25,41.47,0.362,0.765,0.0,6.9,-6.9,5.95,0,,0.02
