id,Ecap,SoC_init,SoC_max,SoC_min,P_ref,P_dis_min,T_stay,T_arr_idx,T_dep_idx,cdeg
19,52.22,0.488,0.925,0.0,3.64,-3.64,6.51,17,,0.02
76,79.31,0.259,0.568,0.0,10.23,-10.23,5.67,15,,0.02
87,94.99,0.508,0.997,0.0,8.56,-8.56,7.14,0,,0.02
33,36.94,0.369,0.763,0.0,5.07,-5.07,2.33,23,,0.02
27,52.45,0.285,0.693,0.0,5.04,-5.04,6.14,23,,0.02
74,85.34,0.584,1.0,0.0,10.17,-10.17,2.51,21,,0.02
66,35.77,0.338,0.796,0.0,5.63,-5.63,5.64,13,,0.02
96,98.72,0.212,0.562,0.0,7.16,-7.16,2.12,26,,0.02
50,48.36,0.573,0.893,0.0,5.49,-5.49,2.81,28,,0.02
51,37.31,0.421,0.776,0.0,3.96,-3.96,3.26,19,,0.02
11,47.18,0.492,0.824,0.0,4.18,-4.18,3.62,12,,0.02
5,41.81,0.583,0.95,0.0,4.13,-4.13,4.28,2,,0.02
4,43.98,0.548,0.999,0.0,4.55,-4.55,6.19,5,,0.02
82,91.58,0.532,0.942,0.0,9.02,-9.02,2.95,28,,0.02
7,54.46,0.421,0.887,0.0,4.89,-4.89,7.31,19,,0.02
26,45.65,0.464,0.953,0.0,4.03,-4.03,3.59,5,,0.02
10,38.25,0.468,0.908,0.0,4.81,-4.81,5.89,21,,0.02
3,45.11,0.28,0.71,0.0,3.69,-3.69,4.52,17,,0.02
84,85.64,0.31,0.625,0.0,9.51,-9.51,3.41,9,,0.02
15,44.18,0.299,0.711,0.0,4.5,-4.5,6.48,8,,0.02
53,51.92,0.369,0.725,0.0,3.91,-3.91,4.0,0,,0.02
97,74.57,0.468,0.881,0.0,7.5,-7.5,4.79,6,,0.02
28,49.26,0.469,0.843,0.0,4.96,-4.96,5.11,28,,0.02
41,54.37,0.417,0.866,0.0,5.57,-5.57,2.3,1,,0.02
31,36.42,0.468,0.81,0.0,4.41,-4.41,6.34,4,,0.02
61,51.21,0.515,0.837,0.0,4.51,-4.51,2.23,27,,0.02
52,41.86,0.541,0.942,0.0,5.94,-5.94,7.43,8,,0.02
79,96.56,0.288,0.748,0.0,10.11,-10.11,5.11,22,,0.02
64,50.47,0.404,0.84,0.0,4.79,-4.79,5.22,26,,0.02
24,37.24,0.594,1.0,0.0,4.83,-4.83,2.35,7,,0.02
8,42.23,0.228,0.66,0.0,4.25,-4.25,3.74,24,,0.02
75,85.46,0.334,0.798,0.0,9.53,-9.53,3.41,24,,0.02
13,39.58,0.326,0.68,0.0,3.71,-3.71,7.48,6,,0.02
34,48.07,0.224,0.67,0.0,5.8,-5.8,7.17,25,,0.02
1,47.79,0.31,0.655,0.0,3.69,-3.69,2.61,23,,0.02
36,52.49,0.523,0.994,0.0,3.86,-3.86,2.3,3,,0.02
38,43.13,0.546,1.0,0.0,5.24,-5.24,4.27,5,,0.02
58,42.07,0.55,1.0,0.0,5.5,-5.5,2.93,23,,0.02
86,91.19,0.363,0.772,0.0,7.26,-7.26,2.37,13,,0.02
17,36.82,0.244,0.669,0.0,3.76,-3.76,6.08,25,,0.02
72,75.22,0.362,0.829,0.0,9.28,-9.28,3.72,9,,0.02
78,84.83,0.462,0.764,0.0,7.98,-7.98,7.16,24,,0.02
46,37.62,0.383,0.869,0.0,5.79,-5.79,2.44,29,,0.02
12,53.51,0.288,0.653,0.0,5.94,-5.94,6.66,24,,0.02
21,52.52,0.4,0.736,0.0,4.5,-4.5,2.64,29,,0.02
99,94.58,0.243,0.548,0.0,10.86,-10.86,5.45,9,,0.02
100,97.24,0.577,0.916,0.0,8.5,-8.5,6.14,18,,0.02
22,47.51,0.403,0.743,0.0,6.46,-6.46,6.58,11,,0.02
25,52.56,0.234,0.631,0.0,6.82,-6.82,7.87,2,,0.02
43,38.72,0.47,0.817,0.0,5.62,-5.62,7.65,3,,0.02
40,49.61,0.465,0.862,0.0,6.26,-6.26,3.78,6,,0.02
37,54.99,0.588,1.0,0.0,6.44,-6.44,3.42,27,,0.02
30,35.14,0.224,0.537,0.0,6.01,-6.01,7.16,1,,0.02
49,51.67,0.445,0.942,0.0,5.99,-5.99,5.17,20,,0.02
68,45.4,0.475,0.963,0.0,6.34,-6.34,6.02,23,,0.02
29,37.42,0.335,0.753,0.0,4.36,-4.36,5.53,7,,0.02
57,50.92,0.56,0.902,0.0,6.53,-6.53,6.0,7,,0.02
18,46.93,0.438,0.832,0.0,4.91,-4.91,7.83,8,,0.02
91,93.94,0.536,1.0,0.0,9.9,-9.9,5.2,19,,0.02
71,78.87,0.368,0.856,0.0,7.51,-7.51,6.49,21,,0.02
80,71.51,0.539,0.931,0.0,8.0,-8.0,4.79,25,,0.02
93,83.85,0.352,0.694,0.0,7.2,-7.2,4.03,10,,0.02
95,70.58,0.6,0.97,0.0,9.16,-9.16,2.41,20,,0.02
42,44.54,0.412,0.724,0.0,6.73,-6.73,2.48,16,,0.02
70,37.49,0.403,0.836,0.0,6.66,-6.66,4.41,10,,0.02
92,97.21,0.465,0.782,0.0,9.37,-9.37,2.81,13,,0.02
60,38.59,0.513,0.895,0.0,6.74,-6.74,7.18,21,,0.02
62,44.41,0.567,0.937,0.0,4.28,-4.28,6.77,26,,0.02
89,96.75,0.415,0.862,0.0,10.34,-10.34,5.62,25,,0.02
35,39.97,0.379,0.764,0.0,4.25,-4.25,4.78,8,,0.02
67,45.23,0.431,0.782,0.0,4.91,-4.91,4.62,22,,0.02
23,45.79,0.412,0.712,0.0,6.25,-6.25,4.93,10,,0.02
94,96.39,0.58,0.965,0.0,8.11,-8.11,2.49,26,,0.02
20,50.37,0.317,0.649,0.0,4.76,-4.76,7.72,0,,0.02
59,53.6,0.59,1.0,0.0,6.54,-6.54,4.47,28,,0.02
47,44.17,0.598,0.913,0.0,6.99,-6.99,5.04,6,,0.02
56,42.38,0.372,0.68,0.0,5.48,-5.48,7.39,11,,0.02
98,77.69,0.442,0.935,0.0,8.48,-8.48,2.69,22,,0.02
63,39.55,0.277,0.643,0.0,3.68,-3.68,2.42,27,,0.02
54,37.62,0.265,0.653,0.0,6.93,-6.93,4.57,22,,0.02
2,49.81,0.436,0.743,0.0,5.45,-5.45,3.31,2,,0.02
44,46.39,0.216,0.532,0.0,5.57,-5.57,5.5,21,,0.02
83,95.84,0.501,0.969,0.0,8.8,-8.8,6.59,8,,0.02
65,53.78,0.588,0.924,0.0,3.99,-3.99,7.9,30,,0.02
9,36.6,0.24,0.596,0.0,4.39,-4.39,7.0,20,,0.02
48,37.65,0.228,0.576,0.0,4.79,-4.79,2.95,9,,0.02
85,80.08,0.232,0.562,0.0,10.57,-10.57,6.16,12,,0.02
55,35.19,0.553,1.0,0.0,3.86,-3.86,2.22,17,,0.02
69,42.28,0.466,0.832,0.0,3.84,-3.84,5.98,10,,0.02
45,45.46,0.282,0.725,0.0,6.78,-6.78,3.59,7,,0.02
6,42.18,0.306,0.614,0.0,4.77,-4.77,5.22,14,,0.02
73,82.9,0.462,0.855,0.0,9.32,-9.32,6.05,14,,0.02
16,43.57,0.345,0.844,0.0,5.58,-5.58,5.06,4,,0.02
77,93.05,0.554,0.97,0.0,8.82,-8.82,6.18,22,,0.02
88,92.97,0.202,0.573,0.0,8.52,-8.52,4.34,24,,0.02
39,54.71,0.514,0.905,0.0,4.5,-4.5,6.18,13,,0.02
90,76.62,0.374,0.68,0.0,7.88,-7.88,6.01,10,,0.02
14,46.34,0.285,0.685,0.0,6.04,-6.04,7.49,28,,0.02
32,52.65,0.297,0.692,0.0,5.56,-5.56,3.14,13,,0.02
81,85.93,0.327,0.778,0.0,9.24,-9.24,5.68,14,,0.02
